country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Germany,2000,DEU,81551680.0,2718560681984.0,92.32,1.233,31.505,2.569,53.095,4.33,0.761,0.064,573.126,3.821,36.514,12165.24,992.096,3637.938,296.68,-4.057,-29.859,8658.149,706.087,52.145,24.876,572.01,568.95,15.807,0.621,24.619,48903.699,1.467,-0.033,-1.104,4462.569,363.93,41590.516,3391.776,63.965,85.046,-0.831,-6.945,829.246,603.298,49.2,10168.348,-5.423,-10.129,2166.166,176.654,8.648,20.793,326.08,20.371,12.461,73.629,266.457,21.73,902.851,3.819,1.846,4.719,25.722,596.403,2513.989,205.02,7313.188,36.035,14.954,3.06,0.535,-0.234,-1.129,481.26,2079.785,169.61,5901.283,29.811,12.067,-1.916,-30.672,1570.435,221.332,18.05,19256.928,16.35,5.706,497.863,40.602,3.173,39.377,10.853,4.33,0.0,15.646,1.468,53.095,0.0,133.087,0.761,0.0,0.272,6976.558,3988.179,32.32,26.851,115.143,434.203,35.41,1411.904,6.224,2.887,-100.0,-0.056,0.0,0.0,0.0,0.0,0.0,0.0,71.852,11.745,28.091,114.651,9.35,344.461,1.643,0.704
Germany,2001,DEU,81514568.0,2793372909568.0,40.003,1.028,44.128,3.597,56.309,4.59,0.793,0.089,565.447,0.286,2.84,12205.622,994.936,3603.528,293.74,-4.045,-28.559,8311.741,677.528,50.738,24.489,582.6,578.94,15.761,1.871,74.62,49841.387,1.454,2.023,68.605,4536.122,369.76,42451.078,3460.381,63.868,85.172,5.455,45.236,874.482,680.86,55.5,10727.922,0.951,1.679,2187.754,178.334,9.586,21.524,327.36,-6.827,-5.472,68.157,278.846,22.73,836.129,3.926,1.678,1.87,6.015,602.418,2566.167,209.18,7390.309,36.132,14.828,3.66,0.628,1.002,1.665,482.924,2101.465,171.3,5924.39,29.589,11.886,1.307,20.528,1590.963,251.734,20.52,19517.533,1.36,0.552,504.864,41.154,3.544,39.159,16.599,4.59,0.0,52.941,5.746,56.309,0.0,203.638,0.793,0.0,0.409,7102.289,4062.799,5.519,4.351,119.494,464.702,37.88,1465.919,6.543,2.941,,0.294,0.294,1.227,0.1,3.604,0.017,0.007,10.526,2.755,30.847,128.321,10.46,378.42,1.807,0.759
Germany,2002,DEU,81443424.0,2822441533440.0,57.137,2.055,69.401,5.652,65.199,5.31,0.91,0.141,569.566,0.222,2.213,12243.454,997.149,3678.627,299.6,0.285,1.934,8342.746,679.462,51.322,24.856,593.76,583.76,16.112,-1.257,-51.076,49257.789,1.421,-1.512,-52.325,4597.425,374.43,41845.691,3408.056,64.141,84.952,-0.155,-1.354,873.128,691.277,56.3,10720.666,-0.261,-0.466,2183.943,177.868,9.644,21.764,332.49,2.155,1.02,69.176,283.878,23.12,849.38,3.961,1.724,1.259,1.249,603.666,2570.25,209.33,7412.095,35.859,15.048,10.0,1.684,-3.773,-21.218,461.706,2023.982,164.84,5669.042,28.238,11.509,-3.343,-53.183,1537.78,227.52,18.53,18881.572,6.166,2.538,536.464,43.691,3.174,38.332,20.43,5.31,0.0,23.077,3.831,65.199,0.0,250.85,0.91,0.0,0.509,7167.675,4011.723,21.493,22.466,141.96,546.269,44.49,1743.052,7.621,3.539,100.0,0.29,0.584,2.456,0.2,7.168,0.034,0.015,50.476,15.271,46.118,194.736,15.86,566.253,2.717,1.15
Germany,2003,DEU,81346808.0,2831676080128.0,43.285,2.447,99.56,8.099,110.023,8.95,1.487,0.202,569.955,1.652,16.471,12460.475,1013.62,3744.831,304.63,-1.069,-7.261,8263.39,672.2,50.6,25.274,598.76,602.03,16.608,-0.031,-1.252,49300.902,1.416,-0.088,-3.0,4797.975,390.3,41858.516,3405.057,64.831,84.904,1.213,10.592,883.72,769.422,62.59,10863.606,4.098,7.289,2276.139,185.157,10.396,22.035,343.13,-22.695,-16.043,53.134,225.209,18.32,653.176,3.043,1.325,1.493,1.748,605.414,2602.806,211.73,7442.384,35.169,15.096,-3.27,-0.546,0.132,-2.353,459.353,2029.09,165.06,5646.851,27.417,11.454,-1.955,-30.063,1507.717,283.723,23.08,18534.434,4.99,2.18,563.901,45.872,3.834,37.595,28.566,8.95,0.0,39.823,8.136,110.023,0.0,351.162,1.487,0.0,0.712,7400.782,4010.471,5.829,4.101,146.061,573.716,46.67,1795.534,7.752,3.642,56.5,0.324,0.908,3.811,0.31,11.159,0.051,0.023,20.804,9.237,55.355,234.674,19.09,680.477,3.171,1.38
Germany,2004,DEU,81266672.0,2894624980992.0,33.295,2.697,132.839,10.795,130.927,10.64,1.745,0.269,554.659,-2.517,-25.51,12158.858,988.11,3676.415,298.77,1.063,7.144,8359.45,679.345,49.011,24.642,606.98,609.6,16.921,-0.014,-0.578,49342.406,1.385,-1.123,-38.246,4732.075,384.56,41429.168,3366.811,63.084,83.963,0.508,4.491,888.211,771.165,62.67,10929.579,-7.465,-13.821,2108.308,171.335,10.281,22.15,338.12,13.233,6.648,59.782,255.332,20.75,735.627,3.404,1.491,7.273,37.668,643.082,2769.155,225.04,7913.237,36.916,16.037,-2.62,-0.432,1.215,2.618,461.972,2055.824,167.07,5684.639,27.406,11.521,-1.143,-17.227,1490.49,284.495,23.12,18340.73,-5.825,-2.672,531.578,43.2,3.793,37.17,33.951,10.64,0.0,18.85,5.385,130.927,0.0,417.768,1.745,0.0,0.847,7501.229,4009.893,25.533,35.05,181.111,713.331,57.97,2228.598,9.51,4.517,77.955,0.697,1.605,6.891,0.56,19.751,0.092,0.04,36.318,19.623,74.978,320.18,26.02,922.613,4.268,1.87
Germany,2005,DEU,81212168.0,2945460994048.0,84.707,9.144,245.528,19.94,181.13,14.71,2.398,0.503,546.271,-4.324,-42.723,11640.955,945.387,3547.99,288.14,-3.152,-21.414,8101.381,657.931,46.979,23.858,608.77,613.34,17.254,-1.179,-47.258,48793.613,1.345,-1.739,-58.555,4763.572,386.86,40735.957,3308.255,63.074,83.486,1.644,14.6,902.81,888.906,72.19,11116.689,-3.448,-5.908,2036.97,165.427,11.77,22.783,335.05,-5.34,-3.55,56.232,241.836,19.64,692.405,3.202,1.419,4.49,11.297,654.38,2788.745,226.48,8057.658,36.926,16.514,-4.57,-0.751,-2.41,-13.986,447.986,2007.704,163.05,5516.237,26.584,11.305,-2.042,-30.432,1460.058,326.675,26.53,17978.311,-1.706,-0.737,522.861,42.463,4.325,36.846,46.949,14.71,0.0,38.286,12.998,181.13,0.0,578.102,2.398,0.0,1.185,7552.317,3962.635,21.257,25.284,206.394,781.041,63.43,2541.421,10.342,5.209,134.829,2.14,3.745,16.131,1.31,46.118,0.214,0.095,6.745,4.551,79.528,341.944,27.77,979.268,4.528,2.007
Germany,2006,DEU,81177816.0,3086359199744.0,59.473,11.859,391.717,31.799,233.315,18.94,3.005,0.783,536.163,4.011,37.924,12113.054,983.311,3559.224,288.93,-5.696,-37.477,7643.141,620.453,45.847,24.205,613.22,630.2,17.35,2.517,99.752,50043.066,1.316,1.583,52.362,4808.826,390.37,41398.223,3360.617,61.944,82.725,1.912,17.258,920.069,920.572,74.73,11333.994,-1.212,-2.005,2013.137,163.422,11.858,22.648,337.89,2.001,0.765,56.996,246.742,20.03,702.117,3.178,1.403,10.269,47.39,701.77,2954.379,239.83,8644.846,38.056,17.275,-16.98,-2.769,2.648,8.97,456.955,2060.538,167.27,5629.066,26.542,11.248,-0.193,-2.821,1457.237,329.031,26.71,17951.174,0.937,0.398,527.986,42.861,4.238,35.871,60.445,18.94,0.0,28.746,13.496,233.315,0.0,744.601,3.005,0.0,1.488,7763.205,4062.387,25.174,38.42,244.814,893.84,72.56,3015.78,11.514,6.026,73.165,2.699,6.445,27.963,2.27,79.392,0.36,0.159,12.782,9.601,89.129,385.82,31.32,1097.953,4.97,2.194
Germany,2007,DEU,81183832.0,3220275724288.0,13.672,4.348,445.241,36.146,303.262,24.62,3.901,0.928,551.783,2.54,24.976,12419.798,1008.287,3659.596,297.1,1.996,12.382,7795.097,632.836,47.077,25.897,614.54,631.1,18.134,-4.159,-168.964,47958.113,1.209,-4.36,-146.51,4941.008,401.13,39590.488,3214.107,63.56,82.552,-3.664,-33.707,886.362,954.008,77.45,10917.961,-8.398,-13.725,1843.931,149.697,12.272,22.766,348.23,5.686,2.864,59.861,260.766,21.17,737.348,3.354,1.537,-2.061,-22.454,679.316,2832.707,229.97,8367.628,36.44,17.448,-16.56,-2.695,-16.027,-75.634,381.321,1731.01,140.53,4697.009,22.267,9.794,-9.455,-137.778,1319.459,327.405,26.58,16252.727,-1.829,-0.784,518.29,42.077,4.212,33.889,78.579,24.62,0.0,30.001,18.134,303.262,0.0,967.914,3.901,0.0,2.018,7773.715,3893.423,20.337,53.18,297.995,1101.697,89.44,3670.618,14.172,7.654,38.499,2.425,8.87,38.678,3.14,109.261,0.498,0.228,29.316,25.409,114.538,498.991,40.51,1410.853,6.419,2.942
Germany,2008,DEU,81217488.0,3289020366848.0,-12.259,-4.431,390.498,31.715,345.0,28.02,4.432,0.806,525.408,-7.585,-76.479,11473.0,931.808,3388.556,275.21,-7.936,-50.22,7173.526,582.616,43.526,23.682,612.19,632.29,18.063,1.059,41.243,48446.047,1.196,0.366,11.776,4794.903,389.43,39719.078,3225.884,61.59,81.986,0.975,8.644,895.006,1089.421,88.48,11019.871,-8.916,-13.347,1678.834,136.351,13.994,22.747,332.21,-3.434,-2.415,57.446,251.67,20.44,707.311,3.233,1.46,3.289,29.466,708.783,2990.243,242.86,8726.97,38.41,18.014,-20.1,-3.283,5.865,19.859,401.18,1828.301,148.49,4939.579,23.484,10.196,6.034,79.611,1399.069,316.927,25.74,17226.207,-9.279,-3.904,470.005,38.173,4.071,35.558,89.479,28.04,0.02,13.882,10.9,345.246,0.246,1101.721,4.435,0.003,2.274,7785.146,3934.666,0.405,9.607,307.602,1161.942,94.37,3787.39,14.925,7.818,43.704,3.797,12.668,55.53,4.51,155.973,0.713,0.322,2.168,1.756,116.294,509.496,41.38,1431.887,6.544,2.956
Germany,2009,DEU,81260624.0,3136502104064.0,-0.639,-0.203,387.797,31.513,380.135,30.89,5.254,0.853,521.549,-10.465,-97.516,10266.872,834.292,3118.977,253.45,-7.348,-42.813,6642.857,539.803,43.107,22.596,575.69,587.96,17.92,-6.163,-242.488,45436.254,1.177,-6.431,-207.452,4392.657,356.95,37145.078,3018.432,60.71,81.752,-5.665,-50.705,844.301,987.809,80.27,10390.04,-6.519,-8.889,1568.554,127.462,13.652,22.867,306.65,-6.907,-4.298,53.148,234.185,19.03,654.045,3.237,1.439,-4.492,-35.036,673.746,2842.828,231.01,8291.177,39.29,18.248,-12.27,-2.131,-9.306,-39.579,361.601,1660.46,134.93,4449.891,22.949,9.794,-4.234,-59.231,1339.838,285.87,23.23,16488.162,-8.584,-3.277,429.433,34.896,3.951,36.289,98.643,30.91,0.02,10.241,9.164,380.381,0.246,1213.907,5.257,0.003,2.672,7235.485,3692.178,1.188,4.543,312.145,1182.369,96.08,3841.286,16.341,8.454,48.957,6.085,18.753,82.697,6.72,230.777,1.143,0.508,-4.748,-6.206,110.089,485.106,39.42,1354.761,6.705,2.982
Germany,2010,DEU,81325088.0,3301123031040.0,0.094,0.03,387.854,31.542,417.091,33.92,5.434,0.82,516.637,7.417,61.88,11019.628,896.172,3232.582,262.89,-1.113,-6.008,6563.718,533.795,42.116,23.294,609.26,624.21,18.294,4.197,154.973,47305.836,1.165,3.846,116.097,4650.963,378.24,38543.195,3134.529,60.595,81.477,4.313,36.411,880.712,1091.422,88.76,10829.53,-12.727,-16.222,1367.843,111.24,14.22,22.893,322.49,10.099,5.009,58.157,257.608,20.95,715.114,3.356,1.512,5.713,38.876,712.622,3024.528,245.97,8762.64,39.405,18.523,-14.95,-2.454,4.168,12.761,374.362,1728.372,140.56,4603.274,22.518,9.731,1.329,17.806,1357.644,326.959,26.59,16694.041,-10.91,-3.807,382.276,31.089,4.26,35.29,108.367,33.95,0.03,9.862,9.724,417.46,0.369,1332.52,5.439,0.005,2.817,7675.492,3847.151,7.348,26.115,338.261,1296.156,105.41,4159.365,16.887,8.792,78.153,14.451,33.204,147.064,11.96,408.29,1.916,0.863,-2.215,-3.098,106.99,474.023,38.55,1315.587,6.176,2.781
Germany,2011,DEU,81423384.0,3467712921600.0,4.141,1.306,403.426,32.848,453.064,36.89,6.098,0.885,529.669,1.631,14.619,11185.866,910.791,3223.398,262.46,1.815,9.688,6674.771,543.482,43.382,24.546,601.23,605.0,18.345,-3.55,-136.567,45571.484,1.07,-3.25,-101.86,4576.081,372.6,37245.68,3032.669,61.587,81.73,-8.187,-72.105,808.607,1052.155,85.67,9930.896,-5.92,-6.585,1285.313,104.655,14.16,21.792,320.45,-15.664,-9.409,48.748,217.014,17.67,598.7,2.921,1.314,-4.42,-34.707,677.916,2854.217,232.4,8325.809,38.413,18.27,-3.77,-0.627,-23.183,-88.541,285.821,1326.032,107.97,3510.303,17.846,7.703,-3.268,-44.373,1313.271,300.528,24.47,16128.915,4.082,1.269,397.399,32.358,4.045,35.393,117.812,36.91,0.02,8.71,9.444,453.31,0.246,1446.903,6.101,0.003,3.175,7430.297,3710.584,14.836,53.834,392.095,1528.185,124.43,4815.506,20.567,10.567,67.107,21.944,55.148,245.507,19.99,677.302,3.304,1.486,29.341,30.548,137.538,612.355,49.86,1689.174,8.241,3.707
Germany,2012,DEU,81545568.0,3482225475584.0,6.528,2.144,429.117,34.993,529.765,43.2,6.97,0.93,534.164,2.776,25.283,11479.154,936.074,3387.431,276.23,2.229,12.113,6813.311,555.595,44.567,24.883,599.27,619.81,18.611,1.383,51.332,46132.684,1.08,0.656,19.895,4622.569,376.95,37433.844,3052.564,60.817,81.144,0.308,2.493,811.101,931.381,75.95,9946.593,-9.594,-10.041,1160.256,94.614,12.254,21.561,331.08,23.111,10.903,59.651,266.722,21.75,731.503,3.509,1.586,4.755,31.437,709.352,2978.212,242.86,8698.844,39.183,18.856,-20.54,-3.428,-7.883,-24.127,261.694,1219.686,99.46,3209.177,16.047,6.956,-0.6,-7.882,1305.389,303.757,24.77,16008.096,0.274,0.089,397.891,32.446,3.996,34.7,137.981,43.23,0.03,17.122,20.169,530.133,0.368,1692.074,6.975,0.005,3.668,7600.781,3761.916,13.431,55.563,447.658,1758.526,143.4,5489.667,23.136,11.9,33.78,18.182,73.33,327.915,26.74,899.256,4.314,1.949,3.656,4.165,141.703,633.756,51.68,1737.718,8.338,3.767
Germany,2013,DEU,81680592.0,3497463119872.0,-10.518,-3.681,383.346,31.312,557.17,45.51,7.227,0.809,538.027,2.919,27.324,11794.707,963.399,3528.378,288.2,-5.551,-30.839,6424.489,524.756,45.769,24.904,597.5,629.69,18.369,2.834,106.601,47361.52,1.106,3.107,94.841,4657.777,380.45,38533.078,3147.405,60.419,81.359,4.764,38.643,849.743,820.268,67.0,10403.247,-9.061,-8.572,1053.387,86.041,10.64,21.966,338.79,5.714,3.028,62.679,281.585,23.0,767.369,3.653,1.62,0.968,11.761,721.113,3051.398,249.24,8828.446,39.581,18.641,-32.19,-5.387,-2.182,-7.252,254.443,1191.103,97.29,3115.092,15.45,6.577,2.212,28.873,1334.262,309.131,25.25,16335.122,0.83,0.269,400.532,32.716,4.01,34.49,145.494,45.59,0.08,5.467,7.513,558.15,0.979,1781.252,7.24,0.013,3.761,7709.175,3868.517,2.724,19.012,466.67,1860.295,151.95,5713.355,24.131,12.063,14.497,10.125,83.455,374.875,30.62,1021.724,4.863,2.157,2.045,2.027,143.73,645.686,52.74,1759.664,8.376,3.715
Germany,2014,DEU,81858824.0,3574741336064.0,4.852,1.519,401.073,32.831,589.918,48.29,7.804,0.885,521.681,-3.893,-37.504,11310.875,925.895,3352.235,274.41,-2.188,-11.48,6270.265,513.276,44.349,24.954,584.87,618.75,19.009,-4.086,-158.052,45327.605,1.038,-5.854,-184.241,4394.028,359.69,36198.457,2963.163,58.132,79.86,-13.038,-110.793,738.95,740.421,60.61,9027.131,-6.06,-5.214,987.4,80.827,9.796,19.915,322.79,-14.832,-9.616,53.063,239.314,19.59,648.227,3.166,1.43,4.038,26.189,747.301,3164.717,259.06,9129.148,41.868,20.14,-33.88,-5.793,-0.165,-1.942,252.5,1186.555,97.13,3084.583,15.698,6.805,-2.694,-35.944,1298.318,301.372,24.67,15860.452,-6.742,-2.206,372.713,30.51,3.987,34.991,154.4,48.39,0.1,6.128,8.907,591.14,1.222,1886.179,7.821,0.016,4.161,7558.746,3710.465,6.269,28.131,494.801,1978.162,161.93,6044.565,26.171,13.335,15.764,12.577,96.032,433.063,35.45,1173.143,5.729,2.588,10.922,14.744,158.474,714.645,58.5,1935.944,9.455,4.271
Germany,2015,DEU,82073232.0,3628073746432.0,-6.254,-2.053,375.009,30.778,613.233,50.33,7.874,0.814,503.591,-1.171,-10.839,11149.26,915.056,3316.55,272.2,-2.994,-15.367,6066.648,497.909,42.586,24.202,590.89,639.17,19.417,1.897,70.395,46066.906,1.042,0.606,17.971,4377.066,359.24,36322.855,2981.134,56.204,78.848,4.139,30.586,769.536,748.965,61.47,9376.213,-6.907,-5.583,916.795,75.244,9.617,20.353,321.88,-3.114,-1.959,51.105,231.257,18.98,622.67,2.969,1.352,6.449,52.424,799.726,3410.734,279.93,9744.049,43.796,21.152,-48.28,-8.171,-5.501,-15.309,237.191,1118.391,91.79,2889.992,14.361,6.273,-0.137,-1.776,1296.542,311.551,25.57,15797.383,-0.051,-0.016,371.548,30.494,4.001,34.292,160.996,50.46,0.13,4.285,6.596,614.817,1.584,1961.616,7.895,0.02,4.258,7787.801,3780.86,12.408,67.734,562.535,2292.343,188.14,6854.057,29.435,14.878,7.414,6.506,102.538,463.976,38.08,1249.343,5.958,2.712,37.826,58.644,217.118,982.294,80.62,2645.42,12.613,5.743
Germany,2016,DEU,82331432.0,3708980035584.0,0.235,0.072,374.713,30.851,618.597,50.93,7.939,0.803,498.301,-2.745,-25.121,10809.177,889.935,3179.223,261.75,-7.418,-36.937,5598.982,460.972,40.802,23.167,591.0,641.52,19.063,1.603,60.591,46658.379,1.036,2.668,79.527,4466.824,367.76,37174.879,3060.661,57.326,79.675,10.306,79.311,848.847,979.213,80.62,10310.126,-7.993,-6.014,840.875,69.23,12.567,22.097,319.67,8.268,3.898,55.002,249.601,20.55,668.061,3.203,1.432,-1.959,-18.935,780.79,3325.097,273.76,9483.501,42.674,20.325,-50.52,-8.548,-7.792,-19.776,217.415,1027.918,84.63,2640.73,13.192,5.66,1.954,25.336,1321.879,308.388,25.39,16055.576,-2.805,-0.855,359.996,29.639,3.958,34.411,163.024,51.1,0.17,1.276,2.028,620.662,2.065,1980.091,7.965,0.026,4.244,7791.921,3841.451,0.487,0.841,563.375,2297.178,189.13,6842.771,29.482,14.666,-1.366,-1.999,100.539,456.205,37.56,1221.147,5.855,2.617,-0.868,-3.159,213.96,970.711,79.92,2598.759,12.458,5.57
Germany,2017,DEU,82624368.0,3808389496832.0,1.729,0.534,379.841,31.384,616.283,50.92,7.901,0.807,469.711,-6.068,-54.005,10117.229,835.93,2919.962,241.26,-0.548,-2.528,5548.539,458.444,37.436,21.5,592.0,644.46,19.043,1.215,46.682,47057.949,1.021,0.005,0.16,4265.812,352.46,37045.012,3060.821,54.691,78.722,3.362,28.537,877.385,1041.339,86.04,10618.958,-7.899,-5.469,771.705,63.762,13.351,22.566,302.71,-1.927,-1.377,53.625,243.875,20.15,649.022,3.127,1.379,6.165,46.523,827.313,3534.066,292.0,10012.939,45.309,21.278,-52.46,-8.861,-9.819,-22.501,194.914,923.698,76.32,2359.043,11.842,5.013,1.939,25.628,1347.506,304.511,25.16,16308.822,,,,,3.904,34.657,162.955,51.08,0.16,-0.045,-0.069,618.22,1.936,1972.241,7.926,0.025,4.191,7799.879,3888.133,12.314,69.023,632.398,2610.368,215.68,7653.896,33.467,16.265,3.209,2.615,103.154,469.111,38.76,1248.473,6.014,2.653,32.242,67.32,281.28,1279.163,105.69,3404.32,16.4,7.234
Germany,2018,DEU,82896696.0,3845758648320.0,4.25,1.334,394.683,32.718,612.69,50.79,8.033,0.864,454.545,-3.498,-29.24,9731.268,806.69,2752.341,228.16,-4.152,-19.037,5300.665,439.408,36.085,21.298,583.54,632.28,19.3,-2.584,-100.451,45691.598,0.985,-3.802,-116.384,4021.27,333.35,35519.348,2944.437,52.722,77.737,-2.152,-18.878,858.507,983.875,81.56,10356.35,-13.086,-8.344,668.516,55.418,12.899,22.666,287.4,-12.194,-6.814,46.811,213.398,17.69,564.689,2.798,1.236,2.556,15.933,843.246,3606.054,298.93,10172.254,47.278,22.263,-48.74,-8.352,-0.419,-1.951,192.963,916.804,76.0,2327.755,12.02,5.094,-5.066,-68.267,1279.239,285.054,23.63,15431.727,,,,,3.737,33.774,162.595,50.97,0.18,-0.213,-0.36,614.862,2.171,1961.421,8.061,0.028,4.293,7627.325,3787.682,3.475,17.885,650.283,2689.251,222.93,7844.5,35.258,17.168,14.342,14.104,117.259,534.641,44.32,1414.515,7.01,3.096,4.029,9.621,290.9,1326.349,109.95,3509.191,17.389,7.68
Germany,2019,DEU,83148144.0,3886392803328.0,-1.705,-0.558,386.781,32.16,602.9,50.13,8.354,0.87,392.491,-22.62,-182.472,7507.296,624.218,2061.982,171.45,-24.779,-108.88,3975.167,330.528,28.571,16.894,567.42,600.09,19.005,-2.451,-92.843,44436.824,0.951,-4.593,-135.225,3413.787,283.85,33785.625,2809.212,47.301,76.031,3.998,34.323,892.83,1082.405,90.0,10737.825,-3.808,-2.11,641.116,53.308,14.998,24.164,235.53,11.519,5.2,52.01,237.287,19.73,625.514,3.288,1.408,5.048,42.382,885.628,3803.332,316.24,10651.205,52.699,23.969,-32.67,-5.758,-1.228,-3.073,189.89,902.846,75.07,2283.759,12.51,5.139,1.01,12.925,1292.164,269.399,22.4,15540.501,,,,,3.733,34.972,160.513,50.33,0.2,-1.271,-2.083,605.305,2.405,1930.443,8.387,0.033,4.344,7217.119,3694.84,6.914,45.455,695.738,2900.486,241.17,8367.446,40.189,18.83,2.033,1.943,119.201,543.849,45.22,1433.602,7.536,3.226,14.5,40.953,331.853,1514.045,125.89,3991.106,20.979,8.982
